사용일자,분당선,합계
2021-04-05,11552,11552
2021-04-06,11467,11467
2021-04-07,11557,11557
2021-04-08,11401,11401
2021-04-09,12742,12742
2021-04-10,14155,14155
2021-04-11,10792,10792
2021-04-12,9151,9151
2021-04-13,11051,11051
2021-04-14,11961,11961
2021-04-15,12574,12574
2021-04-16,10784,10784
2021-04-17,10593,10593
2021-04-18,12207,12207
2021-04-19,11785,11785
2021-04-20,11882,11882
2021-04-21,12306,12306
2021-04-22,11689,11689
2021-04-23,11911,11911
2021-04-24,13071,13071
2021-04-25,10960,10960
2021-04-26,11188,11188
2021-04-27,11059,11059
2021-04-28,11155,11155
2021-04-29,11344,11344
2021-04-30,10933,10933
2021-05-01,6890,6890
2021-05-02,9127,9127
2021-05-03,11210,11210
2021-05-04,9544,9544
2021-05-05,11300,11300
2021-05-06,11259,11259
2021-05-07,10255,10255
2021-05-08,6413,6413
2021-05-09,8065,8065
2021-05-10,9463,9463
2021-05-11,11162,11162
2021-05-12,11068,11068
2021-05-13,11234,11234
2021-05-14,12116,12116
2021-05-15,6686,6686
2021-05-16,3469,3469
2021-05-17,9462,9462
2021-05-18,11475,11475
2021-05-19,10884,10884
2021-05-20,10013,10013
2021-05-21,10652,10652
2021-05-22,11425,11425
2021-05-23,7341,7341
2021-05-24,10891,10891
2021-05-25,10928,10928
2021-05-26,11352,11352
2021-05-27,10074,10074
2021-05-28,10631,10631
2021-05-29,8697,8697
2021-05-30,7344,7344
2021-05-31,10330,10330
2021-06-01,10869,10869
2021-06-02,11407,11407
2021-06-03,10409,10409
2021-06-04,12365,12365
2021-06-05,10743,10743
2021-06-06,7101,7101
2021-06-07,9748,9748
2021-06-08,10223,10223
2021-06-09,10503,10503
2021-06-10,10302,10302
2021-06-11,10264,10264
2021-06-12,8399,8399
2021-06-13,5779,5779
2021-06-14,9799,9799
2021-06-15,9896,9896
2021-06-16,11060,11060
2021-06-17,10816,10816
2021-06-18,10698,10698
2021-06-19,9773,9773
2021-06-20,6451,6451
2021-06-21,11236,11236
2021-06-22,11252,11252
2021-06-23,11179,11179
2021-06-24,11687,11687
2021-06-25,12227,12227
2021-06-26,8231,8231
2021-06-27,6425,6425
2021-06-28,10393,10393
2021-06-29,11319,11319
2021-06-30,11143,11143
2021-07-01,11417,11417
2021-07-02,11635,11635
2021-07-03,6134,6134
2021-07-04,4028,4028
2021-07-05,10699,10699
2021-07-06,10802,10802
2021-07-07,10222,10222
2021-07-08,9932,9932
2021-07-09,10058,10058
2021-07-10,5575,5575
2021-07-11,3394,3394
2021-07-12,8397,8397
2021-07-13,8498,8498
2021-07-14,8691,8691
2021-07-15,8412,8412
2021-07-16,8524,8524
2021-07-17,4948,4948
2021-07-18,3581,3581
2021-07-19,8209,8209
2021-07-20,8536,8536
2021-07-21,8583,8583
2021-07-22,8389,8389
2021-07-23,8535,8535
2021-07-24,4507,4507
2021-07-25,3273,3273
2021-07-26,8112,8112
2021-07-27,8487,8487
2021-07-28,8423,8423
2021-07-29,8290,8290
2021-07-30,8522,8522
2021-07-31,4653,4653
2021-08-01,3163,3163
2021-08-02,7977,7977
2021-08-03,8256,8256
2021-08-04,8396,8396
2021-08-05,8645,8645
2021-08-06,8770,8770
2021-08-07,5348,5348
2021-08-08,3642,3642
2021-08-09,8729,8729
2021-08-10,8973,8973
2021-08-11,9165,9165
2021-08-12,8889,8889
2021-08-13,9116,9116
2021-08-14,5636,5636
2021-08-15,4941,4941
2021-08-16,5089,5089
2021-08-17,9182,9182
2021-08-18,9236,9236
2021-08-19,9494,9494
2021-08-20,9721,9721
2021-08-21,4792,4792
2021-08-22,4963,4963
2021-08-23,8638,8638
2021-08-24,8835,8835
2021-08-25,9563,9563
2021-08-26,9638,9638
2021-08-27,9160,9160
2021-08-28,7281,7281
2021-08-29,5512,5512
2021-08-30,9411,9411
2021-08-31,9135,9135
2021-09-01,9604,9604
2021-09-02,9812,9812
2021-09-03,10634,10634
2021-09-04,8866,8866
2021-09-05,6418,6418
2021-09-06,9154,9154
2021-09-07,8771,8771
2021-09-08,10170,10170
2021-09-09,10200,10200
2021-09-10,10572,10572
2021-09-11,8888,8888
2021-09-12,6735,6735
2021-09-13,9860,9860
2021-09-14,10112,10112
2021-09-15,10612,10612
2021-09-16,10361,10361
2021-09-17,10742,10742
